User_ID,Age,Gender,Occupation,Primary_Platform,Daily_Usage_Hours,Tried_To_Cut_Back,Anxiety_Score,Depression_Score,Sleep_Quality_Score,Sleep_Hours,Mental_Wellbeing_Score,Addiction_Level,States
USR00001,30,Male,Working Professional,YouTube,2.9,No,2.5,3.8,8.5,5.3,7.3,Low,Andhara pardesh
USR00002,19,Male,Student,Instagram,4.8,Yes,4,3.2,7.8,5.5,4.1,Severe,Arunachal pardesh
USR00003,40,Male,Student,YouTube,,No,7.6,0,6.3,,5.6,High,Assam
USR00004,37,Female,Student,Facebook,7.7,,3.3,3.5,3.9,6.1,4.3,Severe,Bihar
USR00005,18,Non-binary,Student,TikTok,4.6,Yes,6.5,0,5.7,5,6.6,Moderate,Chhattisgarh
USR00006,34,Male,Working Professional,YouTube,1.2,Yes,5.2,5.3,,5.6,7.7,Low,Goa
USR00007,38,Female,Student,Facebook,5,No,5.3,3.8,4.8,8.2,5.5,High,Gujarat
USR00008,22,Female,Unemployed,Twitter/X,3.4,Yes,3.4,6.1,3.8,10,6.2,Moderate,Haryana
USR00009,43,Female,Student,YouTube,9.2,No,3.9,2.8,3.2,5.7,3.4,Severe,Himachal pardesh
USR00010,40,Male,Student,Instagram,6.9,No,3.7,2.5,7.4,5.8,7.7,Low,Punjab
USR00011,29,Male,Freelancer,Instagram,2.8,Yes,6.8,4.5,8.1,6,7,Low,Karnataka
USR00012,38,Female,Working Professional,TikTok,6,No,5,5.5,2.3,7.3,5.7,High,kerala
USR00013,23,Female,Working Professional,YouTube,5.5,No,6.2,,4.7,6,7.1,Moderate,Madhya pardesh
USR00014,40,Male,Working Professional,Instagram,3.7,Yes,5.6,7.8,5.2,7.4,5.1,High,Maharashtra
USR00015,29,Male,Working Professional,Instagram,3.8,Yes,3.4,6.1,7,6.4,9.2,Low,Manipur
USR00016,25,Male,Student,Snapchat,3.9,No,4.3,6.5,5.7,,4.7,Severe,meghalaya
USR00017,41,Non-binary,Unemployed,,2.4,Yes,10,0.4,5.4,5.3,6.6,Moderate,mizoram
USR00018,23,Female,Freelancer,YouTube,5.1,No,7.9,9.7,3.4,7.7,6,High,Nagaland
USR00019,22,Non-binary,Working Professional,Twitter/X,3.4,No,2.7,5.6,3.1,5.2,6.4,Moderate,Odisha
USR00020,21,Female,Student,Facebook,4.3,No,5.1,1.2,6.4,6.7,5.6,High,Punjab
USR00021,19,Female,Working Professional,Facebook,3.7,No,4.4,3.6,6.1,5.2,9.3,Low,Rajasthan
USR00022,31,Female,Student,Instagram,2.9,Yes,4.2,2,6.1,4.8,6.7,Low,Sikkim
USR00023,22,Male,Student,Instagram,8.7,No,4.9,5.8,5.2,5.9,5.1,Severe,Tamil nadu
USR00024,27,Female,Unemployed,Snapchat,5.1,Yes,4.3,3.5,8.9,9.1,7.5,Low,Telangana
USR00025,15,Male,,TikTok,6,No,2.8,2,5.8,8.3,6.5,Moderate,Tripura
USR00026,26,Male,Student,Instagram,10.4,Yes,4.7,6.2,3.7,5.1,5.8,High,Uttar pardesh
USR00027,38,Female,Freelancer,YouTube,4.4,No,0,0.8,4.9,6,6.9,High,Uttarakhand
USR00028,41,Male,Working Professional,TikTok,3,No,5.2,3.1,6.3,7.6,8.5,Low,West bangal
USR00029,21,Non-binary,Working Professional,Instagram,0.8,Yes,5.5,3.7,7.7,6.7,4.6,Severe,Karnataka
USR00030,34,Female,Student,TikTok,1.4,Yes,8.4,4.2,6,6.9,7.6,Low,kerala
USR00031,43,Male,Working Professional,Twitter/X,,Yes,6.2,2.7,6,8.2,5.8,High,West bangal
USR00032,27,Male,Working Professional,TikTok,1.5,Yes,5.8,3.8,4.6,7.5,5.6,High,Manipur
USR00033,20,Male,Student,Facebook,0.5,Yes,7.1,2.3,5.9,8.6,5.8,Moderate,Maharashtra
USR00034,39,Female,Student,Instagram,4.6,No,0.6,3.3,7.1,5.3,5.8,High,mizoram
USR00035,39,Female,Freelancer,Twitter/X,4.3,Yes,4.2,5.6,3,5.3,7.7,Low,Arunachal pardesh
USR00036,38,Male,Working Professional,Instagram,8.2,Yes,6.8,3.7,8.1,4.8,6.2,High,Odisha
USR00037,36,Female,Working Professional,Snapchat,1.3,Yes,9.6,5.8,7.2,6.7,3.5,Severe,Punjab
USR00038,31,Non-binary,Student,Instagram,6.7,,4,3.5,3.8,7.9,5.4,Severe,Rajasthan
USR00039,42,Male,Working Professional,Instagram,0.5,No,5,2,5.4,6.6,7.7,Low,Uttarakhand
USR00040,44,Non-binary,Working Professional,Instagram,7.3,No,8.4,5.4,6.6,4.2,4.3,Severe,Uttar pardesh
USR00041,15,Female,Student,Facebook,5.1,No,3.7,1.4,,8.7,8,Low,West bangal
USR00042,17,Female,Working Professional,TikTok,2.4,No,3.1,,8.1,7.5,6.6,Moderate,Punjab
USR00043,39,Female,Working Professional,TikTok,7.2,No,3.2,3.2,6.8,6.4,6.6,Moderate,Telangana
USR00044,24,Male,Unemployed,Instagram,4.9,No,6.7,3.4,6.2,6.8,5.5,High,Karnataka
USR00045,29,Female,Freelancer,TikTok,5.8,No,4.3,6.3,6.8,7.2,6.1,Moderate,kerala
USR00046,21,Female,Student,Facebook,4.6,Yes,4.5,4.2,1,4.5,6.9,Moderate,Tamil nadu
USR00047,19,,Student,Twitter/X,7,Yes,,3.9,10,5,8.2,Low,Telangana
USR00048,29,Male,Student,TikTok,,No,1.7,1.2,3.3,5.3,7.1,Moderate,Punjab
USR00049,24,Male,Student,Instagram,,Yes,5.9,3.8,6.7,6.5,6.7,Moderate,Odisha
USR00050,38,,Working Professional,Instagram,2.6,Yes,1.5,6.7,,9.7,5.5,High,Sikkim
USR00051,18,Male,Student,TikTok,2.7,Yes,0.4,6.7,6,8,6.6,Moderate,Sikkim
USR00052,18,Female,Student,TikTok,6.2,No,5.3,0,7.7,6.7,6.6,Moderate,Rajasthan
USR00053,23,Female,Working Professional,YouTube,5.8,No,8.3,10,7.6,3.3,3,Severe,Manipur
USR00054,34,Female,Unemployed,YouTube,5.1,Yes,3.5,1.1,3.7,5.4,7.1,Moderate,meghalaya
USR00055,31,Male,Freelancer,Instagram,4,No,1.8,2.5,6.3,9.5,7.3,Moderate,Tripura
USR00056,16,Male,Student,TikTok,3.3,Yes,4.9,2.5,7.4,6.5,7.1,Moderate,Uttarakhand
USR00057,15,Female,Student,Twitter/X,5.3,No,3.1,3.1,4.6,5.8,5.4,High,West bangal
USR00058,31,Female,Student,Instagram,6.3,No,6.5,3.7,5,6.9,4,Severe,Haryana
USR00059,37,Male,Working Professional,TikTok,6.2,Yes,5,2.9,3.9,6.2,5.8,High,Himachal pardesh
USR00060,44,Male,Unemployed,Instagram,8.1,Yes,6.6,,6.1,7.8,6.1,High,Haryana
USR00061,27,Female,Student,Facebook,8.3,Yes,3,4.5,6.3,5.4,6,High,Gujarat
USR00062,43,Non-binary,Working Professional,TikTok,3.7,No,8.2,3.8,5.5,7.2,5.3,High,Gujarat
USR00063,43,Male,Working Professional,Twitter/X,10,,4.9,1.4,3.2,7.6,6.9,Moderate,Nagaland
USR00064,22,Male,Working Professional,Twitter/X,7.8,No,,7.5,3.6,7.8,7.4,Moderate,Punjab
USR00065,38,Female,Freelancer,Facebook,5.2,Yes,5.7,2,4.7,7.2,3.7,Severe,Sikkim
USR00066,25,Male,Student,Instagram,5.3,No,0.3,6.3,,6.3,4.9,Severe,Tripura
USR00067,24,Female,Student,Twitter/X,5.7,Yes,7.7,7.1,5.3,5.6,6.4,Moderate,Andhara pardesh
USR00068,18,Non-binary,Working Professional,Twitter/X,3.4,Yes,4.8,3,4.1,6.1,6,Moderate,Andhara pardesh
USR00069,15,Male,Student,Instagram,3.1,No,3.4,6.3,6.2,7.5,7.7,Moderate,Arunachal pardesh
USR00070,44,Female,Student,TikTok,4.6,Yes,6.6,6.6,9.6,9.4,6.6,Moderate,Assam
USR00071,22,Male,Working Professional,YouTube,3.7,No,6,2,5.5,5.9,5.1,Severe,Arunachal pardesh
USR00072,38,Female,Student,YouTube,0.5,Yes,5.7,3.4,3.5,7.8,7.1,Moderate,Chhattisgarh
USR00073,43,Non-binary,Student,Facebook,5.9,Yes,6.3,0.9,4.7,7.6,8.1,Low,Assam
USR00074,38,Female,,Instagram,0.5,No,7.2,8.2,6.6,6.2,6.6,Moderate,Chhattisgarh
USR00075,15,Male,Freelancer,YouTube,5.3,Yes,6.1,4.9,6.3,5.2,6.3,High,Bihar
USR00076,36,Male,Working Professional,YouTube,3.8,No,,5.1,5.7,7.9,4.1,Severe,Goa
USR00077,19,Female,Student,YouTube,3.2,Yes,4.9,3.7,5.9,5.1,6.1,Moderate,Bihar
USR00078,18,Female,Freelancer,Twitter/X,6.2,Yes,8.1,1,,5,5.2,High,Goa
USR00079,16,Female,Freelancer,TikTok,2.8,No,6.4,,3.2,7.3,6.2,High,Chhattisgarh
USR00080,18,Female,Working Professional,YouTube,2.4,Yes,6.3,3.8,7.3,4.2,8.4,Low,kerala
USR00081,42,Female,Unemployed,TikTok,5.2,No,4.1,8.7,4.7,6.1,6.1,High,Karnataka
USR00082,42,Male,Student,TikTok,5,No,9,3.8,6.8,6.4,4.4,Severe,Karnataka
USR00083,16,Non-binary,Working Professional,Instagram,3,No,2.5,3.1,3.3,3,6.9,Moderate,Karnataka
USR00084,34,Female,Freelancer,YouTube,2.9,Yes,5.8,2.9,7.9,5.5,7.5,Low,Karnataka
USR00085,42,Male,Unemployed,Facebook,2.9,No,2.9,1.5,3.2,6.4,5.6,High,Bihar
USR00086,19,Female,Student,Instagram,5.2,Yes,5.6,1.7,4.3,7.1,6.6,Moderate,Chhattisgarh
USR00087,34,Male,Working Professional,Facebook,5.5,Yes,3.8,5.7,8.4,6.4,10,Low,mizoram
USR00088,16,Male,Student,Instagram,6.3,Yes,7.4,7.4,3.4,8.4,4.4,Severe,Haryana
USR00089,42,Male,Student,Snapchat,4.3,Yes,7,5,6.1,7.4,4.3,Severe,Uttarakhand
USR00090,40,Female,Working Professional,TikTok,2.6,Yes,7.7,5.1,8,6.3,8.8,Low,Haryana
USR00091,20,Male,Working Professional,TikTok,6.1,Yes,2.8,3.3,1.7,5.9,4.7,Severe,Goa
USR00092,24,Female,Student,Facebook,10.2,No,4.8,6.4,5.5,6.2,5,High,Punjab
USR00093,44,Male,Student,Instagram,8,No,6.5,4.3,8.9,5.1,5.6,Moderate,meghalaya
USR00094,32,Female,Unemployed,Instagram,2.3,Yes,4.1,6.6,8.7,7.3,5.3,High,meghalaya
USR00095,17,Male,Working Professional,Facebook,6.2,No,5.9,5.8,3.9,5.8,8,Low,meghalaya
USR00096,34,Female,Working Professional,Instagram,4.3,Yes,8.2,0.3,5.1,6.2,4.8,Severe,meghalaya
USR00097,33,Non-binary,Student,TikTok,4.3,No,8,3.7,5.8,3.9,4.5,Severe,Andhara pardesh
USR00098,33,Male,Working Professional,Facebook,3.9,No,7.3,3.8,4.1,9.3,7,Moderate,Andhara pardesh
USR00099,36,Male,Student,,2.7,No,6.9,0.9,2.8,8.2,6.8,Moderate,Goa
USR00100,38,Female,,Twitter/X,1.2,Yes,5.8,7.6,4.7,4.3,7.6,Low,Andhara pardesh
USR00101,18,Female,Student,Snapchat,5.5,Yes,5.5,7.8,5.6,6,7.4,Moderate,Himachal pardesh
USR00102,26,Male,Working Professional,Instagram,2.3,Yes,10,5,5.3,6.8,8,Low,Andhara pardesh
USR00103,41,Female,Working Professional,TikTok,3.3,No,1,1.4,3,6.1,6.8,Moderate,Chhattisgarh
USR00104,30,Female,Working Professional,Instagram,3.7,No,3.8,2.1,2.5,6.1,6.5,High,kerala
USR00105,31,Female,Student,Facebook,4.7,No,5.7,0.1,,5.2,4.3,Severe,kerala
USR00106,27,Male,Working Professional,Facebook,3.6,No,5.1,4.3,3.8,7.1,5.9,High,kerala
USR00107,44,Female,Freelancer,Twitter/X,4.2,Yes,4.8,3.9,4.6,8.3,8.8,Low,Assam
USR00108,26,Female,Freelancer,,3.6,No,7.6,2,6.3,6.5,6.2,Moderate,Haryana
USR00109,24,Male,Freelancer,YouTube,5.1,No,4.6,4.1,7.9,8.5,7.6,Low,Haryana
USR00110,24,Male,Student,YouTube,5.3,Yes,4.2,5.5,7.2,9.1,7.3,Moderate,Punjab
USR00111,27,Female,Working Professional,TikTok,7.7,No,5.8,3.2,2.4,5.7,7.2,High,Odisha
USR00112,18,Female,Working Professional,TikTok,5.8,No,0.5,5.3,6.4,5.9,7.7,Low,Odisha
USR00113,29,Female,Student,Instagram,3.3,No,,2.8,3,6.6,6.9,Low,meghalaya
USR00114,29,Female,Working Professional,Instagram,5.8,No,2.3,6,4.9,7.7,4.4,Severe,mizoram
USR00115,43,Male,Freelancer,Instagram,6.5,Yes,5.5,4.9,5,7.4,6,Moderate,Maharashtra
USR00116,35,Male,Working Professional,Twitter/X,3.3,Yes,6.7,8.5,3.7,5.3,7.8,Low,Manipur
USR00117,36,Female,Working Professional,Facebook,3.3,No,5.8,3,6.5,8,7.9,Low,Madhya pardesh
USR00118,43,Female,Student,Instagram,0.5,No,5.8,3.4,6.2,8.2,6.7,Moderate,mizoram
USR00119,30,Male,Student,Twitter/X,7.8,Yes,6.5,4.9,5,8.7,6.6,Moderate,Maharashtra
USR00120,42,Non-binary,Working Professional,Instagram,4.9,No,7,3.7,7.5,6.8,4.3,Severe,meghalaya
USR00121,18,Female,Working Professional,Instagram,7.5,No,6.1,8.7,5.1,5.8,7.1,Low,Chhattisgarh
USR00122,31,Male,Student,TikTok,1.2,Yes,5.6,3.2,4.6,4.9,8.1,Low,Goa
USR00123,19,Female,Student,Twitter/X,0.5,No,6.5,4.7,6.9,6.4,8,Low,Chhattisgarh
USR00124,26,Male,Student,Instagram,5.2,Yes,4,5.8,5.6,4.7,6.3,Moderate,Uttarakhand
USR00125,23,Male,Working Professional,Instagram,2.7,Yes,6.1,5.1,6.2,5.8,6.2,Moderate,kerala
USR00126,41,Female,Student,Facebook,4.9,No,4.9,4.8,5.3,7.8,8.2,Low,kerala
USR00127,41,Female,Working Professional,Instagram,2.9,Yes,8.5,4.4,4.5,7,5.2,High,Arunachal pardesh
USR00128,37,Male,Student,Facebook,6.3,Yes,6.5,3.4,6.2,6.5,6.1,Moderate,Arunachal pardesh
USR00129,26,Male,Working Professional,Facebook,3.8,Yes,7.3,0,6.3,6.4,8.4,Low,Arunachal pardesh
USR00130,30,Female,Student,YouTube,4.2,Yes,9.6,3.3,2.1,6.7,8.1,Low,Rajasthan
USR00131,38,Male,Freelancer,TikTok,5.6,No,,5.4,10,,5.8,High,Rajasthan
USR00132,28,Male,Student,YouTube,3.6,Yes,10,5.2,5.9,8,6.8,Moderate,Chhattisgarh
USR00133,33,Male,Student,Twitter/X,,Yes,8,3.7,9.3,6.6,7.5,Low,Arunachal pardesh
USR00134,22,Female,Freelancer,,7.3,No,3.7,3.6,5.5,6.6,6.6,High,Assam
USR00135,18,Male,Student,Instagram,4.4,No,6.3,6.5,7.8,6,7.4,Low,Arunachal pardesh
USR00136,44,Male,Working Professional,TikTok,5.1,Yes,2.9,10,5.2,8.3,6.6,Moderate,Assam
USR00137,27,Female,Student,YouTube,5.7,Yes,2.8,3.6,6.9,7.3,7.4,Moderate,Rajasthan
USR00138,27,Female,Student,Snapchat,4.8,No,4.8,5.9,5.5,6.5,4.1,Severe,Punjab
USR00139,30,Male,Student,Facebook,5.7,Yes,9.1,,6.6,5,6.6,Moderate,Uttarakhand
USR00140,44,Male,Student,YouTube,8.7,Yes,7.2,7.5,4,7.9,5.8,High,Sikkim
USR00141,23,Female,Working Professional,Facebook,6.9,Yes,3.9,5.7,3.8,5.4,6,Moderate,Sikkim
USR00142,37,Non-binary,Student,TikTok,1.5,No,7.7,6.7,7.5,6.8,6.1,Moderate,Odisha
USR00143,21,Male,Working Professional,Facebook,0.5,No,5.8,6.2,8,5.8,6.4,Moderate,Odisha
USR00144,36,Female,Student,Twitter/X,2.7,Yes,4.8,3.7,6.4,8.6,6.6,Moderate,meghalaya
USR00145,21,Male,Working Professional,TikTok,0.5,Yes,7.9,5.2,7.5,4.2,5.7,High,mizoram
USR00146,36,Female,Working Professional,YouTube,0.5,No,4.7,4.9,3.8,6.3,7.6,Low,Maharashtra
USR00147,27,Female,Freelancer,TikTok,2.3,No,0.9,6.7,2,6.4,6.3,Moderate,Rajasthan
USR00148,42,Male,Working Professional,TikTok,2.5,Yes,3.3,0.2,3.5,7.2,7.8,Low,Nagaland
USR00149,22,Female,Student,Snapchat,5,No,3.6,2.5,3.8,8.6,5.5,Moderate,Nagaland
USR00150,32,Female,Student,Twitter/X,5.6,No,5.6,5.5,5.5,,7.4,Moderate,Haryana
USR00151,25,Male,Working Professional,YouTube,9.3,No,5.7,1.7,6.7,5.5,5.8,High,Chhattisgarh
USR00152,30,Male,Working Professional,Facebook,3,Yes,2.2,4.4,5.5,7,7.9,Low,Assam
USR00153,20,Non-binary,Student,Snapchat,3.2,Yes,0,5.4,7.2,4.7,5.3,High,Arunachal pardesh
USR00154,19,Female,Student,Instagram,5,No,6.9,3.2,5.4,5.6,6.9,Moderate,Arunachal pardesh
USR00155,35,Female,Working Professional,Instagram,6.9,Yes,1.3,4.2,1.8,,7.3,Moderate,Bihar
USR00156,24,Female,Working Professional,Snapchat,4,No,4.5,4.4,2.9,5.9,7.9,Moderate,Gujarat
USR00157,24,Male,Student,,2.6,No,4.4,6.8,7.6,6.5,7.4,Low,Bihar
USR00158,44,Male,Student,TikTok,0.5,No,4.8,8.7,4.6,4,5.8,High,kerala
USR00159,41,Non-binary,Student,YouTube,6.4,Yes,6,7.9,3.2,4.9,6.8,Moderate,Karnataka
USR00160,15,Male,Freelancer,Instagram,4,Yes,3.5,4.8,7.7,4.8,6,High,Nagaland
USR00161,43,Non-binary,Student,Snapchat,7.9,Yes,4.9,6.3,4.8,5.9,7.7,Low,Goa
USR00162,37,Female,Freelancer,TikTok,8.5,Yes,5.2,4.9,7.4,6.3,6.1,High,Gujarat
USR00163,17,Female,Freelancer,YouTube,8.7,Yes,5.4,1.9,7.8,6,7.3,Moderate,Punjab
USR00164,27,Male,Student,Facebook,5.6,Yes,7.8,3.3,6.7,7.2,5.6,High,Rajasthan
USR00165,21,Male,Freelancer,TikTok,6.5,Yes,6.6,1.2,3.1,8.1,3.2,Severe,Odisha
USR00166,23,Male,Student,Twitter/X,1.6,No,5.6,5.4,3.9,6.4,7.2,Low,meghalaya
USR00167,17,Female,Student,Snapchat,5.5,Yes,7.1,5.8,9.2,,7.7,Low,Punjab
USR00168,42,Male,Student,Twitter/X,3.8,No,7.2,4.1,0,6,8.4,Low,Manipur
USR00169,25,Female,Student,YouTube,6.8,Yes,5.8,6.6,5.8,5.4,5.2,Severe,Maharashtra
USR00170,29,Male,,Twitter/X,3.4,No,2.1,0.2,9.7,6,8.5,Low,Andhara pardesh
USR00171,35,Female,Working Professional,Instagram,4,Yes,6.3,1.2,8.4,7.6,7.5,Moderate,Arunachal pardesh
USR00172,32,Female,Freelancer,Snapchat,2.7,Yes,2.8,7.9,4.7,6.8,5.9,High,Arunachal pardesh
USR00173,44,Female,Student,YouTube,8.5,Yes,5.3,5.1,7,6.8,5.9,Severe,Goa
USR00174,21,Male,Student,Instagram,4.8,No,3.7,5,0.2,4.6,6,Moderate,Gujarat
USR00175,25,,Unemployed,TikTok,2.4,Yes,5.2,5.5,4.1,4.7,6.2,Moderate,kerala
USR00176,32,Male,Student,YouTube,3.7,No,5.3,3.5,7.1,6.5,7.5,Low,Assam
USR00177,20,Male,Working Professional,Instagram,1.7,Yes,,1.6,,6.7,7.4,Moderate,Bihar
USR00178,30,Female,Working Professional,Instagram,7.2,Yes,2.2,2,5.3,7.9,5.4,High,West bangal
USR00179,32,Female,Working Professional,YouTube,7.2,No,10,6.1,7,6.9,5.5,High,West bangal
USR00180,37,Female,Student,Snapchat,4.9,Yes,7.9,6,4.3,8.7,8,Low,Madhya pardesh
USR00181,27,Male,Student,TikTok,5.2,No,,,3.5,,5.1,High,kerala
USR00182,24,Male,Student,Twitter/X,1.4,Yes,4,4.5,3.9,4.1,7,Moderate,Punjab
USR00183,23,Non-binary,Working Professional,Instagram,7.9,Yes,7.2,6.2,2.5,6.2,4.4,Severe,Odisha
USR00184,43,Non-binary,Working Professional,Facebook,4.4,Yes,6,9.5,,8.2,7.8,Moderate,Odisha
USR00185,37,Male,Freelancer,Snapchat,9,Yes,5.9,8.3,4,5.8,4.3,Severe,meghalaya
USR00186,30,Female,Working Professional,YouTube,3.3,Yes,6.6,6,5.1,6.1,6.1,Moderate,Karnataka
USR00187,20,Female,Student,TikTok,5.6,Yes,5.9,6,0.8,6.1,6,High,Maharashtra
USR00188,24,Male,Freelancer,,6.4,Yes,,3.4,6.6,7.5,6.9,Moderate,Nagaland
USR00189,38,Female,Student,Facebook,6.3,Yes,9.4,4.8,,7,6.7,Moderate,Haryana
USR00190,36,Male,Student,TikTok,4.3,No,0.1,1.4,4.1,6.7,6.5,Moderate,kerala
USR00191,19,Male,Student,Facebook,6.9,No,1.5,2.4,3.9,6.1,5.2,Moderate,Bihar
USR00192,42,,Student,Instagram,5.4,Yes,6.8,2.4,7.3,5.8,6.9,Moderate,Karnataka
USR00193,27,Female,Working Professional,TikTok,4.6,No,5.6,7.1,4.1,7.2,1.5,Severe,kerala
USR00194,24,Male,Unemployed,Twitter/X,2.3,Yes,1.1,,8.6,5.3,7.8,Low,Arunachal pardesh
USR00195,26,Female,Working Professional,Instagram,7.3,No,2.7,5,,6.6,5.9,Moderate,Arunachal pardesh
USR00196,21,Male,Student,Instagram,4.6,Yes,4.1,,4.7,7,7.8,Low,Andhara pardesh
USR00197,39,Non-binary,Freelancer,TikTok,5.6,Yes,6.8,4.5,6.9,5.4,7.6,Moderate,Arunachal pardesh
USR00198,16,Female,Student,Twitter/X,4.4,Yes,4.7,,6.9,8.2,6,Moderate,Arunachal pardesh
USR00199,36,Female,Student,TikTok,5.3,No,1.4,2.8,4.2,6.2,6.2,Moderate,Chhattisgarh
USR00200,36,Male,Student,YouTube,3.7,Yes,7.3,3.1,6.2,10,7.5,Low,Chhattisgarh
USR00201,26,Male,Freelancer,YouTube,10.1,Yes,7.5,7.4,2.6,5.5,3.5,Severe,Chhattisgarh
USR00202,43,Female,Working Professional,Instagram,8.5,Yes,6.8,4.5,7.8,6.7,7.7,Low,Bihar
USR00203,39,Male,Freelancer,Instagram,6,Yes,6.8,5.8,7.2,4,3.7,Severe,meghalaya
USR00204,34,Female,Working Professional,TikTok,5.1,No,4,9.1,2.7,7.4,8,Low,Haryana
USR00205,38,Male,Working Professional,Instagram,6,Yes,4.6,0.8,5.3,6.6,5.4,High,kerala
USR00206,38,Male,Freelancer,YouTube,2.7,Yes,2.3,4.6,8.5,6.5,7.7,Low,Odisha
USR00207,40,Male,Student,TikTok,5.8,Yes,4.5,3.4,6.6,4.1,5,Severe,Tamil nadu
USR00208,27,Female,Student,YouTube,4.3,Yes,4.7,5.3,6.2,7.4,5.6,High,Telangana
USR00209,27,,Freelancer,Twitter/X,3.6,No,3,4.7,6.7,6.8,6.5,Moderate,Telangana
